食笨,吃饭
爱做尼,要做什么
爱去地块,要去哪里
党哑,等一下
呢去,拿去
做尼照些,怎么这样
去地块屉桃,去哪里玩
食未,吃了吗
雅死,很漂亮
烧护我,帮我
担咪个,说什么
郑吾知,假装不知道
卤死你,讨厌你
想了公公,想了头痛
世散物,乱搞
行做一哑,走在一起
如死,很好玩
客依,给他
吾知做尼担,不知怎么说
谓死,好累
爱迈,要不要
爱来婉许内迈,要不要来我家
爱做尼住做尼,要怎么样就怎么样
担矮定卖,说得定吗
在物密个,在干什么
叔恶死,作孽
胶毛,剪头发
担密个,说什么
资娘,女人
禾埠,男人
盒汁死,很脏
猛着,快点
固分,抽烟
肠头毛,长头发
担拉未,说够没
惜死你,很疼你
姆知,不知道
无事吹事,没事找事
姆北,不认识
无影无只,没这回事
公过只鸭,很傻
勿店担话,不要老说话
知关,小心点
欠拍啊,欠揍吗
无吕变,没你办法
乌暗形,晕倒
无人掺,没人跟你在一起
踢死，踏庇，绕出乡里,把你踢死，踏扁，赶出家乡
衰形卖变,死性不改
软呐,柔软
迈节死人,别吵死人
椅姆龙钟,睡不清醒
扫拍你去龙钟,把你打醒
听你担了目涩死,听你说话就想睡觉
迈照生,别这样
武死你,打死你
埋甜扎死人娜,别吵死人
卖担，食做分,不要说了，还是抽烟好
我姆敢,我不敢了
小李死,很害羞
吕微死,你不怕死啊
浪险死,很了不起
欢有资娘仔,还有女人
专爱,偏偏要
无人掺，掺竹壳，无人也，也处瓦,没人跟你在一起，你就和笋皮在一起，没人背你，你就去背瓦片
无事行屉桃,没事去外面逛
喜个物,那一个
面皮厚过东西墙,脸皮很厚得无法形容应菜
歌lei,包菜
飞龙,菠菜
风梨,菠萝
壳兰,格兰
龟菜,韭菜
吊瓜,青瓜
还虽,香菜
菜心,油菜
剑菜,香麦
锅菜,青菜
大头菜,上海菜
肉唉,龙眼
莲拐,荔枝
甘同,马铃薯
风桥,西红柿
朱古力,巧克力
糖圆,糖果
浮香腐,豆干
油渣果,油条
胶那,橄榄
地豆,花生
红菜头,胡萝卜
钱葱,马蹄
菜补,萝卜干
月娘,月亮
木仔,番石榴
菜豆,长豆
罐长,腊肠
柔鱼,鱿鱼
酸包,面包
酸机,雪条
甜筒,雪糕
涩啤,啤酒
乡姑,香菇
春菜,介菜
还晶白,小白菜
芬碟,烟缸
卜支芬,抽条烟
宫招,香蕉
大头好亮,好面子
啦蹼哩奥,炫耀
吐屎吐血,说话没有根据
鸟叻,八卦
鸟称,牺牲
堵吾兑,受不了
卖莫,不错
激血,生气
激心,伤心
恭过水蚊（恭过只鸭）,头脑混乱
个元两粒,白痴
浪险,厉害
过如（趣味死）,有趣
泰哥拍作咪,破罐破摔
晤大浪事,没什么大不了
萨做是,自以为是
张够有影有迹,装得很象真的
搭正,刚刚
剁鸡,嫖妓
恶性,厉害
依喃,他们
喃,我们
妻姨,不漂亮或者脏
小李,害羞
无变,没办法
后生,年轻
猴玲青兄,慌慌忙忙
司不萨纳,不正常
嘎勒浪代,关你什么事
喜哈母嚷,很吵
青菜,随便
央哦,撒娇
弄总,全部
安些,这样
安嘎,好像
散蹼母,乱来
嫩,你们
称籽,子弹
剪哩罗,还要很久
象烧,温暖
迈去担,不想去说（其实还想说）
拍寸运,哆嗦
鸡母皮青浮（鸡母皮咋咋叫）,起了鸡皮疙瘩
海是作泥,为什么这样子
只船,现在
无爱嘎勒,不跟你交朋友
堵到,周转
够挂,整个下午
有影,真实的（或表赞同）
爬三领四,乱说
弦搭晤着咳,牛头不对马嘴
鸡晤食蔗,九不搭八
欣腊母吓,东西乱丢乱放
臭到滚,指人品不好
叉够腊,坏事远离身
海做照生,为什么这样子
谈早,刚才
迈担无,不要说没有
想担,以为
看想,有企图
锯弦,聊天
锯帕弦,聊天
无法无着,没办法
缺个,不正常
晤颠对,不正常
希壶,去世
过身,去世
牵课,工作或者能力，本事
筑,工作
肚肿,生气
浪堵,生气
志塞,吃
烧共,一起
做下,一起
专爱,故意
函盖弄欣,全部都兴旺（一种祝愿）
楚略,差不多
鞋晓,知道或晓得
掺多,差不多
袜,我（汕头发音）
并并样,一样
粗堵,还可以
甲浪磅,差不多
叔恶,可怜或恶心
日,太阳、日影
月娘,月亮
雨微,毛毛雨
雨仔,小雨
雷公,雷
风台,台风
扫帚星,彗星
出日,日出
落雨,下雨
响雷,打雷
浮风,起风
透风,刮风
拍雾,起雾
落雪,下雪
落霜,下霜
天顶,天上
日猛,太阳光强烈
月光,月亮很亮
天时,天气
天时好,晴天
天光光,天亮了
无日,阴天多云
乌暗天,阴天
风时雨,夏天的过云雨
雨歇,雨停了
雨仔送送,下小雨
沃雨,淋雨
雨淋头倒,下大雨
赤西北,夏天的西北风
风尾雷,台风过后的雷
涂,土、泥
溪仔,小溪
大水,洪水
山顶,山上
山空,山洞
石米,沙砾、碎石
石仔,小石头
石部,石头
石狗卵,鹅卵石
沙母猴,粗沙粒
路仔,小路
参叉路口,十字路口
巷仔,小巷
船头,码头
渡头,渡口
涂下,地上
涂膏糜,烂泥巴
溪底,河床
水弟,水涨、水满
水可,水退
做大水,发大水
涌,浪
风涌,风浪
田洋中,田野
溪水,河水
池涂,塘泥
街路,马路
路铃中,马路中间
乡里,村子
铺路,里路
工课,工作
落班,下班
做生理,做生意
店铺,饮食店
铺,商店
头家,老板、经理
等,称
碎纸,零钱
纸字,钱币
剃头铺,理发店
罗离,汽车
脚车,自行车
搭渡,过渡
泵风,打气
退货,批发货物
掠鱼,捕鱼
电毛,烫发
税厝,租房子
木工,木匠
灰匙,瓦刀
补泥,补胎
家私,家具
拍铁,打铁
起厝,盖房子
拔桶,打水用的桶
平担,扁担
索,绳子
田料,肥料
早粙,早稻
瓜棚,瓜架
地豆,花生
竹蔗,甘蔗
米萝,簸箕
菜脯,腌制的萝卜干
